stop_id,stop_name,stop_lat,stop_lon
211241,"Av. Das Nações Unidas, 4797",-23.551839,-46.722569
211256,"R. Dr. Alberto Seabra, 402",-23.547587,-46.708644
211262,"R. Dr. Alberto Seabra, 1159",-23.541476,-46.706049
211269,"Av. Pedroso De Moraes, 2538",-23.555119,-46.705697
211270,"Av. Arruda Botelho, 262",-23.550300,-46.717890
301075,"Estr. Cel. José Gladiador, 400",-23.442470,-46.796329
301087,"Av. Felippo Sturba, 685",-23.440321,-46.790202
301567,"R. Diego Velasquez, 194",-23.431889,-46.789110
301573,"R. Nestor Gomes, 105",-23.431556,-46.793122
301578,"R. Alberto Alvarez, 189",-23.430036,-46.794470
301671,"Av. Da Solidariedade, 23",-23.437180,-46.805737
301672,"Av. Da Solidariedade, 111",-23.439230,-46.807039
301674,Estr. Cel. José Gladiador,-23.442419,-46.796187
301678,"Av. Felippo Sturba, 112",-23.439060,-46.789962
301679,"Av. Felippo Sturba, 390",-23.440333,-46.790333
301680,"Av. Felippo Sturba, 866",-23.443893,-46.791584
301681,"Av. Felippo Sturba, 790",-23.445365,-46.791993
301682,"Av. Felippo Sturba, 1000",-23.449411,-46.793787
301683,"Av. Felippo Sturba, 1317",-23.449543,-46.793771
301684,Av. Felippo Sturba,-23.447396,-46.792568
301686,"R. Francisco Bellazi, 289",-23.450869,-46.790710
301687,"R. Francisco Bellazi, 521",-23.452273,-46.792456
301691,"R. Mário Palmerio, 193",-23.438792,-46.791306
301692,"R. Tancredo Neves, 46",-23.437365,-46.803418
301693,"Estr. De Pirapora, 850",-23.431340,-46.800551
301695,"R. Dos Vitoriosos, 2",-23.436901,-46.802605
301696,"R. Dos Vitoriosos, 1",-23.437090,-46.802527
301697,"R. Dalva De Oliveira, 70",-23.438349,-46.802298
301698,"R. Preste, 12",-23.436158,-46.804023
301699,"R. Tancredo Neves, 46",-23.437337,-46.803267
301700,"R. Elis Regina, 170",-23.437630,-46.804526
301701,"R. Preste, 2",-23.436138,-46.804151
301702,"R. Recife, 51",-23.435618,-46.809863
301709,Rod. Anhanguera (pista Local),-23.442308,-46.786180
301710,"R. Nsa. Sra. Do Líbano, 160",-23.446156,-46.784084
301711,R. Albert Jansen,-23.445756,-46.789151
301712,"R. Alexandre Caturla, 4",-23.443790,-46.786317
301713,"R. Alexandre Caturla, 161",-23.443943,-46.786432
301714,Estr. De Pirapora,-23.436402,-46.805737
301715,"Estr. De Pirapora, 93",-23.436520,-46.805884
301716,"Estr. De Pirapora, 241",-23.437676,-46.808378
301717,Estr. De Pirapora,-23.435623,-46.802445
301718,Estr. De Pirapora,-23.436618,-46.810773
301720,Estr. De Pirapora,-23.435385,-46.802812
301721,"R. Osorio Alves De Castro, 17",-23.448758,-46.788263
301724,"R. Delsuc Alves De Magalhães, 538",-23.435467,-46.791494
301725,Terminal Jardim Britânia Ref.: Av. Pierre Renoir,-23.432592,-46.787020
301726,Terminal Jardim Britânia,-23.432494,-46.787015
301729,Terminal Jardim Britânia,-23.432142,-46.787093
301730,"Estr. Cel. José Gladiador, 262",-23.435409,-46.791888
301731,Rod. Anhanguera (pista Local),-23.442395,-46.786267
301732,"Estr. De Ligação, 2375",-23.438879,-46.765932
301733,"Estr. De Ligação, 2375",-23.438793,-46.765945
301735,"Av. Euclides Da Cunha, 54",-23.432610,-46.781497
301736,"R. Denis Brean (p. Morro Doce-anh), 252",-23.451237,-46.794294
301737,"R. Denis Brean (p. Morro Doce-anh), 252",-23.451222,-46.794228
301738,R. George Dantu,-23.413595,-46.808203
301739,R. George Dantu,-23.413548,-46.808068
301740,R. Enéas De Camargo,-23.415894,-46.807243
301741,R. Aloisio Magalhães,-23.416830,-46.808984
301743,"R. George Dantu, 250",-23.415365,-46.810038
301745,"R. Enéas De Camargo, 453",-23.418533,-46.805320
301746,Rod. Anhanguera,-23.414728,-46.805338
301747,Rod. Anhanguera,-23.410544,-46.818756
301749,Rod. Anhanguera,-23.422025,-46.792218
301751,"R. Leopoldo De Passos Lima, 182",-23.430417,-46.788979
